,movie,director,evaluation
1,The Darjeeling Limited,Wes Anderson,84.0
2,The Dressmaker,Jocelyn Moorhouse,61.0
3,Ghost Rider,Mark Steven Johnson,60.0
4,Sunshine,Danny Boyle,75.0
5,Promising Young Woman,Emerald Fennell,73.0
6,Dog Day Afternoon,Sidney Lumet,83.0
7,Pieces of a Woman,Kornél Mundruczó,70.0
8,Nomadland,Chloé Zhao,78.0
9,Old,M. Night Shyamalan,62.0
10,Schtonk,Helmut Dietl,63.0
11,Druk,Thomas Vinterberg,78.0
12,28 Days Later,Danny Boyle,84.0
13,The Shining,Stanley Kubrick,89.0
14,Babardeala cu bucluc sau porno balamuc,Radu Jude,60.0
15,Jojo Rabbit,Taika Waititi,90.0
19,Mudbound,Dee Rees,73.0
20,Contagion,Steven Soderbergh,68.0
21,Sonnenallee,Leander Haußmann,64.0
22,Seven Psychopaths,Martin McDonagh,63.0
24,Und morgen die ganze Welt,Julia von Heinz,65.0
25,Hostiles,Scott Cooper,74.0
27,Sound of Metal,Darius Marder,80.0
28,The White Tiger,Ramin Bahrani,70.0
29,Godzilla,Gareth Edwards,64.0
30,The School of Rock,Richard Linklater,64.0
31,Ma Rainey's Black Bottom,George C. Wolfe,70.0
32,M - Eine Stadt sucht einen Mörder,Fritz Lang,82.0
33,Matilda,Danny DeVito,63.0
34,Yesterday,Danny Boyle,73.0
35,Nadie sabe que estoy aquí,Gaspar Antillo,71.0
36,Berlin Alexanderplatz,Burhan Qurbani,77.0
37,Gundermann,Andreas Dresen,74.0
38,Tenkû no shiro Rapyuta,Hayao Miyazaki,83.0
39,Les 12 travaux d'Astérix,René Goscinny,77.0
40,La La Land,Damien Chazelle,90.0
41,Scarface,Brian De Palma,88.0
42,Ya no estoy aqui,Fernando Frias,74.0
43,If Beale Street Could Talk,Barry Jenkins,72.0
44,Fierce Creatures,Fred Schepisi,78.0
45,The Danish Girl,Tom Hooper,74.0
47,The Fifth Element,Luc Besson,87.0
48,Mad Max: Fury Road,George Miller,95.0
49,The House That Jack Built,Lars von Trier,84.0
50,Fantastic Mr. Fox,Wes Anderson,82.0
52,The World's End,Edgar Wright,80.0
53,Hot Fuzz,Edgar Wright,85.0
54,Shaun of the Dead,Edgar Wright,84.0
56,Rear Window,Alfred Hitchcock,82.0
57,Death on the Nile,John Guillermin,85.0
58,Ghostbusters,Ivan Reitman,83.0
59,A Few Good Men,Rob Reiner,77.0
60,Evil under the Sun,Guy Hamilton,83.0
62,La piscine,Jacques Deray,73.0
63,Moonrise Kingdom,Wes Anderson,83.0
64,How to Steal a Million,William Wyler,79.0
65,Charade,Stanley Donen,80.0
66,Murder on the Orient Express ,Sidney Lumet,84.0
67,Kill Bill: Vol. 2,Quentin Tarantino,75.0
68,The Mirror Crack'd,Guy Hamilton,63.0
69,Jojo Rabbit,Taika Waititi,92.0
70,The Secret Life of Walter Mitty,Ben Stiller,84.0
71,Ex Machina,Alex Garland,90.0
73,'Crocodile' Dundee,Peter Faiman,65.0
74,Scrooged,Richard Donner,78.0
75,Home alone,Chris Columbus,80.0
76,National Lampoon's Christmas Vacation ,Jeremiah S. Chechik,75.0
77,Little Lord Fauntleroy,Jack Gold,73.0
78,O Palmenbaum,Xaver Schwarzenberg,71.0
79,Jingle All the Way,Brian Levant,76.0
80,Single Bells,Xaver Schwarzenberg,83.0
81,Oldboy,Park Chan-wook,87.0
82,Offret,Andrej Tarkowski,84.0
83,Das schweigende Klassenzimmer,Lars Kraume,73.0
84,Mother,Bong Joon-Ho,79.0
85,The Juniper Tree,Nietzchka Keene,65.0
86,Jojo Rabbit,Taika Waititi,92.0
87,Cléo de cinq à sept,Agnès Varda,70.0
89,Apocalypse Now,Francis Ford Coppola,89.0
90,Styx,Wolfgang Fischer,80.0
91,Interstellar,Christopher Nolan,100.0
92,Velvet Buzzsaw,Dan Gilroy,64.0
93,Bronson,Nicolas Winding Refn,70.0
94,Donna Haraway: Story Telling for Earthly Survival,Fabrizio Terranova,30.0
95,The Shawshank Redemption,Frank Darabont,90.0
96,Mononoke-hime,Hayao Miyazaki,82.0
97,A Beautiful Day,Lynne Ramsay,74.0
98,Training Day,Antoine Fuqua,74.0
99,Memento,Christopher Nolan,88.0
100,Buena Vista Social Club,Wim Wenders,67.0
101,Nattvardsgästerna,Ingmar Bergman,76.0
102,The Host,Bong Joon-Ho,95.0
103,Westfront 1918: Vier von der Infanterie,G.W. Pabst,73.0
105,Tallulah,Sian Heder,40.0
106,Portrait de la jeune fille en feu,Celine Sciamma,74.0
107,Ava,Léa Mysius,72.0
108,Ansiktet,Ingmar Bergman,78.0
109,Suntan,Argyris Papadimitropoulos,75.0
110,The Wolf of Wall Street,Martin Scorsese,84.0
111,Espero tua (re)volta,Eliza Capai,64.0
112,Matrix,"Lana Wachowski, Lilly Wachowski",100.0
113,Mignonnes,Maïmouna Doucouré,78.0
114,Slumdog Millionaire,Danny Boyle,80.0
115,Smultronstället,Ingmar Bergman,79.0
116,The Dark Knight,Christopher Nolan,95.0
118,Cobra Verde,Werner Herzog,70.0
120,I'm thinking of ending things,Charlie Kaufmann,63.0
121,Lovesong,So Yong Kim,60.0
122,Ödipussi,Loriot,90.0
123,Astérix chez les Bretons,Pino Van Lamsweerde,72.0
124,Venom,Ruben Fleischer,60.0
125,The Man Who Knew Too Much,Alfred Hitchcock,85.0
127,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,85.0
128,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,74.0
129,Jack goes boating,Philip Seymour Hoffman,70.0
131,Adú,Salvador Calvo,67.0
132,Patch Adams,Tom Shadyac,80.0
133,Fear and Loathing in Las Vegas,Terry Gilliam,81.0
134,Nader and Simin,Asghar Farhadi,82.0
135,Le scaphandre et le papillon,Julian Schnabel,84.0
137,Bergmál,Rúnar Rúnarsson,74.0
138,TENET,Christopher Nolan,82.0
139,Waves,Trey Edward Shults,81.0
140,Dolor y gloria,Pedro Almodovar,65.0
141,Da Five Bloods,Spike Lee,83.0
142,Cold War,Pawel Pawlikowski,63.0
143,Avengers Endgame,Joe Russo,83.0
144,The Truman Show,Peter Weir,93.0
145,The Breakfast Club,John Hughes,65.0
146,Pappa ante portas,Loriot,95.0
147,Rope,Alfred Hitchcock,85.0
148,Avengers Infinity War,Joe Russo,90.0
149,Primer,Shane Carruth,81.0
150,En passion,Ingmar Bergman,82.0
151,Naked Lunch,David Cronenberg,72.0
152,Monos,Alejandro Landes,80.0
153,Nostalgia de Luz,Patricio Guzman,73.0
154,The Last Airbender,M. Night Shyamalan,45.0
155,Color Out of Space,Richard Stanley,65.0
156,Dark Staffel 3,Baran bo Odar,70.0
157,The Raid,Gareth Evans,84.0
158,Death on the Nile,John Guillermin,89.0
159,Casablanca,Michael Curtiz,92.0
160,Evil under the Sun,Guy Hamilton,79.0
161,Airplane!,David Zucker,75.0
163,I am not your negro,Raoul Peck,78.0
164,Stranger Than Paradise,Jim Jarmusch,81.0
165,The Housemaid,Sang-soo Im,75.0
166,Paranza,Claudio Giovannesi,81.0
167,Detachment,Tony Kaye,85.0
168,Little Miss Sunshine,Jonathan Dayton,85.0
169,Permanent Vacation,Jim Jarmusch,70.0
170,The Butler,Lee Daniels,83.0
171,Vladimir et Rosa,Jean-Luc Godard,61.0
172,Cidade de Deus,Fernando Meirelles,89.0
173,Slow West,John Maclean,78.0
