,title,evaluation,Bag_of_words
43,The Matrix,10.0,set 22nd century matrix tells story computer hacker joins group underground insurgents fighting vast powerful computers rule earth lillywachowski saving the world artificial intelligence man vs machine philosophy prophecy martial arts self sacrifice dream fight hacker insurgence simulated reality virtual reality dystopia truth cyberpunk dream world woman director messiah action hero gnosticism 
580,Cherry Blossoms,10.0,finding husband rudi fatal illness trudi angermeier arranges trip berlin see children course kids know real reason visiting -- catch neither ... dorisdörrie japan husband wife relationship new love dying and death marriage butoh cancer relationship family woman director 
3,Magnolia,9.98,epic mosaic many interrelated characters search happiness forgiveness meaning san fernando valley paulthomasanderson farewell loss of loved one regret parent child relationship suicide attempt becoming an adult dying and death chance child prodigy daughter unsociability reconciliation san fernando valley multiple storylines frog weird rain 
0,Interstellar,9.9,adventures group explorers make use newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage christophernolan artificial intelligence nasa time warp spacecraft expedition future wormhole space travel famine black hole dystopia race against time quantum mechanics space rescue family relationships robot astronaut scientist single father farmer space station space adventure time paradox time-manipulation father daughter relationship 2060s cornfield time manipulation 
67,2001: A Space Odyssey,9.75,humanity finds mysterious object buried beneath lunar surface sets find origins help hal 9000 world advanced super computer stanleykubrick moon jupiter artificial intelligence man vs machine based on novel or book technology super computer space travel space mission moon base astronaut cult film evolution monolith space station space opera 2000s 
10,The Lord of the Rings: The Two Towers,9.72,frodo sam trekking mordor destroy one ring power gimli legolas aragorn search orc captured merry pippin along nefarious wizard saruman awaits fellowship members orthanc tower isengard peterjackson elves dwarf orcs based on novel or book explosive cave funeral siege fort army addiction mission attack dragon guide death split personality wizard ring live action and animation sword and sorcery 
27,Kill Bill: Vol. 1,9.7,assassin shot ruthless employer bill members assassination circle – lives plot vengeance quentintarantino japan coma martial arts kung fu showdown asia yakuza sword bride vigilante sword fight revenge female yakuza animated scene wedding samurai sword eye patch retribution 
274,The Hateful Eight,9.7,"bounty hunters seek shelter raging blizzard get caught plot betrayal deception quentintarantino bounty hunter wyoming, usa mountain narration hangman whodunit stagecoach blizzard post civil war 19th century "
14,Fight Club,9.67,ticking time bomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catches underground fight clubs forming every town eccentric gets way ignites control spiral toward oblivion davidfincher based on novel or book support group dual identity nihilism fight rage and hate insomnia dystopia alter ego cult film split personality quitting a job dissociative identity disorder self destructiveness 
46,The Dark Knight,9.65,batman raises stakes war crime help lt jim gordon district attorney harvey dent sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising mastermind known terrified citizens gotham joker christophernolan crime fighter secret identity anti hero scarecrow sadism chaos vigilante joker superhero based on comic tragic hero organized crime anti villain criminal mastermind district attorney super power super villain neo-noir 
163,Pulp Fiction,9.6,"burger loving hit man philosophical partner drug addled gangster moll washed boxer converge sprawling comedic crime caper adventures unfurl three stories ingeniously trip back forth time quentintarantino drug dealer boxer massage stolen money crime boss dance competition briefcase redemption heirloom los angeles, california theft nonlinear timeline multiple storylines neo-noir "
467,Back to the Future,9.6,eighties teenager marty mcfly accidentally sent back time 1955 inadvertently disrupting parents first meeting attracting mother romantic interest must repair damage history rekindling romance help eccentric inventor friend doc brown return 1985 robertzemeckis clock tower flying car car race terrorist lightning guitar plutonium inventor journey in the past invention time travel race against time bullying mad scientist fish out of water teenage love destiny hidden identity love and romance teenage life changing the past or future 1950s 
8,The Lord of the Rings: The Return of the King,9.58,aragorn revealed heir ancient kings gandalf members broken fellowship struggle save gondor sauron forces meanwhile frodo sam take ring closer heart mordor dark lord realm peterjackson elves dwarf orcs based on novel or book suspicion volcano bravery addiction honor royalty troll brutality ghost wizard quest live action and animation sword and sorcery 
2,The Big Short,9.52,men made millions global economic meltdown adammckay bank fraud biography wall street finances based on true story animated scene historical fiction loan financial crisis real estate mortgage 
126,Pappa ante Portas,9.5,ordering enough typewriting paper 40 years get discount heinrich lohse forced retire viccovonbülow man retiree 
412,Aliens,9.5,ripley lifepod found salvage crew 50 years later finds terra formers planet alien species company sends family colonists investigate story — contact lost enlist colonial marines return search answers jamescameron android extraterrestrial technology space marine spaceman cryogenics vacuum space colony warrior woman settler space travel colony horror space alien creature desolate xenomorph desolate planet 
51,Inglourious Basterds,9.5,"nazi occupied france world war ii group jewish american soldiers known basterds chosen specifically spread fear throughout third reich scalping brutally killing nazis lead lt aldo raine soon cross paths french teenage girl runs movie theater paris targeted quentintarantino paris, france guerrilla warfare self sacrifice dynamite mexican standoff world war ii jew persecution nazi masochism sadism anti-semitism swastika german occupation of france british politics adolf hitler "
539,Mulholland Drive,9.5,"blonde betty elms arrived hollywood become movie star meets enigmatic brunette amnesia meanwhile two set solve second woman identity filmmaker adam kesher runs ominous trouble casting latest project davidlynch schizophrenia detective identity amnesia loss of sense of reality suppressed past trauma key nightmare bisexuality hallucination surreal job interview casting hollywood los angeles, california car accident audition doppelgänger neo-noir "
